,GEN,RS,hp_download_successful,wp_download_successful,reason
0,Flensburg,01001,1,1,0
1,Kiel,01002,1,1,0
2,Lübeck,01003,1,1,0
3,Neumünster,01004,1,1,0
4,Dithmarschen,01051,1,1,0
5,Herzogtum Lauenburg,01053,1,1,0
6,Nordfriesland,01054,1,1,0
7,Ostholstein,01055,1,1,0
8,Pinneberg,01056,1,1,0
9,Plön,01057,1,1,0
10,Rendsburg-Eckernförde,01058,1,1,0
11,Schleswig-Flensburg,01059,1,1,0
12,Segeberg,01060,1,1,0
13,Steinburg,01061,1,1,0
14,Stormarn,01062,1,1,0
15,Hamburg,02000,1,1,0
16,Braunschweig,03101,1,1,0
17,Salzgitter,03102,1,1,0
18,Wolfsburg,03103,1,1,0
19,Gifhorn,03151,1,1,0
20,Goslar,03153,1,1,0
21,Helmstedt,03154,1,1,0
22,Northeim,03155,1,1,0
23,Peine,03157,1,1,0
24,Wolfenbüttel,03158,1,1,0
25,Göttingen,03159,1,1,0
26,Region Hannover,03241,1,1,0
27,Diepholz,03251,1,1,0
28,Hameln-Pyrmont,03252,1,1,0
29,Hildesheim,03254,1,1,0
30,Holzminden,03255,1,1,0
31,Nienburg (Weser),03256,1,1,0
32,Schaumburg,03257,1,1,0
33,Celle,03351,1,1,0
34,Cuxhaven,03352,1,1,0
35,Harburg,03353,1,1,0
36,Lüchow-Dannenberg,03354,1,1,0
37,Lüneburg,03355,1,1,0
38,Osterholz,03356,1,1,0
39,Rotenburg (Wümme),03357,1,1,0
40,Heidekreis,03358,1,1,0
41,Stade,03359,1,1,0
42,Uelzen,03360,1,1,0
43,Verden,03361,1,1,0
44,Delmenhorst,03401,1,1,0
45,Emden,03402,1,1,0
46,Oldenburg (Oldb),03403,1,1,0
47,Osnabrück,03404,1,1,0
48,Wilhelmshaven,03405,1,1,0
49,Ammerland,03451,1,1,0
50,Aurich,03452,1,1,0
51,Cloppenburg,03453,1,1,0
52,Emsland,03454,1,1,0
53,Friesland,03455,1,1,0
