,Quarter,Price,Change,House Price,GEN,RS
0,2018/Q3,2.050 €,-,1,Flensburg,01001
1,2018/Q4,2.100 €,+2%,1,Flensburg,01001
2,2019/Q1,2.050 €,-2%,1,Flensburg,01001
3,2019/Q2,2.100 €,+2%,1,Flensburg,01001
4,2019/Q3,2.100 €,+0%,1,Flensburg,01001
5,2019/Q4,2.200 €,+5%,1,Flensburg,01001
6,2020/Q1,2.250 €,+2%,1,Flensburg,01001
7,2020/Q2,2.250 €,+0%,1,Flensburg,01001
8,2020/Q3,2.300 €,+2%,1,Flensburg,01001
9,2018/Q3,1.550 €,-,0,Flensburg,01001
10,2018/Q4,1.600 €,+3%,0,Flensburg,01001
11,2019/Q1,1.650 €,+3%,0,Flensburg,01001
12,2019/Q2,1.650 €,+0%,0,Flensburg,01001
13,2019/Q3,1.700 €,+3%,0,Flensburg,01001
14,2019/Q4,1.850 €,+9%,0,Flensburg,01001
15,2020/Q1,1.950 €,+5%,0,Flensburg,01001
16,2020/Q2,2.000 €,+3%,0,Flensburg,01001
17,2020/Q3,2.000 €,+0%,0,Flensburg,01001
18,2018/Q3,2.350 €,-,1,Kiel,01002
19,2018/Q4,2.350 €,+0%,1,Kiel,01002
20,2019/Q1,2.350 €,+0%,1,Kiel,01002
21,2019/Q2,2.400 €,+2%,1,Kiel,01002
22,2019/Q3,2.400 €,+0%,1,Kiel,01002
23,2019/Q4,2.450 €,+2%,1,Kiel,01002
24,2020/Q1,2.450 €,+0%,1,Kiel,01002
25,2020/Q2,2.600 €,+6%,1,Kiel,01002
26,2020/Q3,2.700 €,+4%,1,Kiel,01002
27,2018/Q3,2.300 €,-,0,Kiel,01002
28,2018/Q4,2.350 €,+2%,0,Kiel,01002
29,2019/Q1,2.350 €,+0%,0,Kiel,01002
30,2019/Q2,2.400 €,+2%,0,Kiel,01002
31,2019/Q3,2.450 €,+2%,0,Kiel,01002
32,2019/Q4,2.500 €,+2%,0,Kiel,01002
33,2020/Q1,2.600 €,+4%,0,Kiel,01002
34,2020/Q2,2.700 €,+4%,0,Kiel,01002
35,2020/Q3,2.750 €,+2%,0,Kiel,01002
36,2018/Q3,2.150 €,-,1,Lübeck,01003
37,2018/Q4,2.200 €,+2%,1,Lübeck,01003
38,2019/Q1,2.150 €,-2%,1,Lübeck,01003
39,2019/Q2,2.200 €,+2%,1,Lübeck,01003
40,2019/Q3,2.250 €,+2%,1,Lübeck,01003
41,2019/Q4,2.300 €,+2%,1,Lübeck,01003
42,2020/Q1,2.300 €,+0%,1,Lübeck,01003
43,2020/Q2,2.450 €,+7%,1,Lübeck,01003
44,2020/Q3,2.500 €,+2%,1,Lübeck,01003
45,2018/Q3,2.150 €,-,0,Lübeck,01003
46,2018/Q4,2.150 €,+0%,0,Lübeck,01003
47,2019/Q1,2.150 €,+0%,0,Lübeck,01003
48,2019/Q2,2.200 €,+2%,0,Lübeck,01003
